,0,400,800,1200,1600,2000,2400
600,0.000014,0,0,0,0,0.000028,0
602,0,0,0.000014,0,0,0,0
604,0,0,0,0.000014,0,0,0
606,0.000014,0,0.000042,0,0,0,0
608,0,0.000014,0,0,0,0.000014,0.000028
610,0,0,0,0.000014,0.000014,0,0.000014
612,0,0,0,0,0,0,0.000028
614,0,0,0.000014,0,0,0,0
616,0,0,0.000014,0,0,0.000014,0
618,0,0,0,0,0,0,0
620,0,0,0,0,0,0,0
622,0,0,0,0.000014,0,0,0
624,0,0,0,0,0,0,0
626,0,0,0,0,0,0,0.000014
628,0,0,0.000014,0,0,0,0
630,0,0,0.000014,0,0,0,0
632,0,0,0,0,0,0,0
634,0,0,0,0,0,0,0
636,0,0,0,0,0,0,0
638,0,0,0,0,0,0,0
640,0,0,0,0,0,0,0
642,0,0,0,0,0.000014,0,0
644,0,0,0,0,0,0,0
646,0,0,0.000014,0,0.000014,0,0
648,0,0,0.000014,0,0,0,0
650,0,0,0,0,0,0,0
652,0,0.000014,0,0,0,0,0
654,0,0,0.000014,0,0,0,0
656,0,0,0,0,0,0,0
658,0,0,0,0,0,0,0
660,0,0,0,0,0,0,0.000014
662,0,0,0,0,0,0,0
664,0,0,0,0,0,0,0
666,0,0,0,0,0,0,0.000028
668,0,0,0,0,0,0,0
670,0,0.000014,0,0,0.000014,0,0
672,0,0,0.000014,0,0,0,0
674,0.000014,0,0,0,0,0,0
676,0,0,0,0,0,0,0
678,0,0,0.000014,0,0,0.000014,0
680,0,0,0,0,0,0.000014,0
682,0,0,0,0,0,0,0.000014
684,0,0,0,0,0,0,0
686,0,0,0.000014,0,0,0.000014,0.000042
688,0,0,0.000014,0,0,0,0.000014
690,0,0,0.000014,0,0,0.000014,0
692,0,0,0,0,0.000014,0,0.000014
694,0,0,0,0.000014,0,0,0
696,0,0,0,0.000014,0,0,0
698,0,0,0,0,0,0,0
700,0,0.000014,0,0,0,0.000014,0
702,0,0,0,0,0,0,0
704,0,0.000014,0,0,0,0,0
706,0,0,0.000014,0.000014,0,0,0.000028
708,0,0,0,0,0.000014,0,0.000014
710,0,0,0,0,0,0,0
712,0,0,0,0,0,0,0
714,0,0,0,0.000014,0,0,0
716,0,0,0,0,0,0,0.000014
718,0,0,0,0,0.000014,0,0
720,0,0,0,0,0,0,0.000014
722,0,0,0,0,0,0,0
724,0,0,0,0,0,0,0
726,0,0,0,0,0,0,0
728,0,0,0.000014,0.000014,0,0,0.000014
730,0.000014,0,0.000014,0,0.000028,0.000014,0
732,0,0,0,0.000028,0,0,0
734,0,0,0,0,0,0,0.000028
736,0,0,0,0,0,0,0
738,0,0,0,0,0,0,0
740,0,0,0,0.000014,0,0,0
742,0,0,0,0,0,0,0
744,0,0,0,0,0.000014,0,0
746,0,0,0.000014,0,0,0,0
748,0,0,0,0,0,0,0
750,0,0,0,0,0,0.000014,0
752,0,0,0,0,0,0,0
754,0,0,0,0,0,0,0
756,0,0,0,0,0,0,0
758,0,0,0.000014,0,0,0,0
760,0,0,0,0,0.000014,0,0
762,0,0,0.000014,0,0,0.000014,0
764,0,0.000014,0,0,0,0,0
766,0,0,0,0,0,0,0.000014
768,0,0,0,0,0,0,0
770,0,0,0,0,0,0,0
772,0,0,0.000014,0,0,0,0.000014
774,0,0,0,0,0,0,0
776,0,0,0,0,0,0,0
778,0,0,0,0,0,0,0
780,0,0,0,0,0,0,0
782,0.000014,0,0.000014,0,0.000014,0,0
784,0,0,0,0,0,0,0.000014
786,0,0,0,0,0,0.000014,0
788,0,0,0,0,0,0,0
790,0,0,0.000014,0,0.000014,0,0
792,0,0,0,0,0,0,0
794,0,0,0.000014,0,0,0,0
796,0,0,0,0,0,0,0
798,0,0,0,0.000014,0,0,0
