overflow 1ms,,,,
,over 250us,over 300us,over 400us,over 1ms
109,0.241026,0.05301,0.033909,0.011839
110,0.142836,0.016799,0.012935,0.005001
111,0.245243,0.05996,0.042877,0.015932
112,0.115544,0.005119,0.003683,0.002088
113,0.272043,0.062901,0.040602,0.020634
114,0.290319,0.071931,0.046193,0.02329
115,0.148981,0.018435,0.012547,0.006783
116,0.126024,0.00858,0.005999,0.002733
117,0.257554,0.06992,0.052462,0.023332
118,0.186469,0.038792,0.029734,0.01469
119,0.196006,0.04536,0.035484,0.019961
120,0.219297,0.046151,0.034672,0.017929
121,0.109315,0.002032,0.001567,0.001158
122,0.114746,0.004501,0.003468,0.002081
123,0.108996,0.002039,0.00147,0.001047
124,0.129623,0.008378,0.006298,0.003586
125,0.11906,0.002504,0.001907,0.001443
126,0.261369,0.125621,0.04853,0.008864
127,1.06,0.850705,0.29437,0.001144
128,1.074926,0.861567,0.30639,0.010542
129,1.083596,0.861588,0.303678,0.005133
130,1.051012,0.83743,0.286068,0.001151
131,1.208545,1.038076,0.567245,0.00249
132,1.611925,1.523916,1.177306,0.001776
133,1.606085,1.51981,1.174462,0.00068
134,1.79478,1.631588,1.258933,0.028707
135,1.611037,1.521468,1.176196,0.001255
136,1.705794,1.570559,1.210286,0.011666
137,1.677856,1.561328,1.210161,0.011735
138,1.63387,1.536137,1.190192,0.005445
139,1.904311,1.572723,1.209169,0.009454
140,1.619284,1.528404,1.180448,0.001602
141,1.692442,1.562223,1.207317,0.010286
142,1.725152,1.585596,1.228319,0.027001
143,1.731727,1.58672,1.231572,0.027667
144,1.659747,1.554683,1.204383,0.011493
145,1.700107,1.563443,1.211319,0.020946
146,1.646909,1.543392,1.191552,0.006298
147,1.684751,1.566114,1.209627,0.015162
148,1.646652,1.538426,1.187633,0.00396
149,1.705593,1.57273,1.214516,0.016695
150,1.824181,1.637691,1.265592,0.038126
151,1.62975,1.530762,1.183707,0.004168
152,1.707999,1.611814,1.262894,0.073208
153,1.61619,1.526371,1.183146,0.001762
154,1.616031,1.528244,1.186822,0.005091
155,1.614089,1.526774,1.188403,0.000867
156,1.639626,1.541998,1.204869,0.0067
157,1.623584,1.531428,1.193674,0.001179
158,1.613027,1.526427,1.187273,0.000784
159,1.616558,1.527585,1.188139,0.000721
160,1.619138,1.529895,1.188292,0.001838
161,1.615996,1.526274,1.182945,0.001942
162,1.662889,1.545916,1.202032,0.008795
163,1.64188,1.534951,1.188798,0.002525
164,1.624506,1.531455,1.184658,0.002115
165,1.608235,1.521523,1.179407,0.000881
166,1.618527,1.526482,1.183146,0.002143
167,1.616939,1.527453,1.184242,0.001651
168,1.612043,1.523937,1.179712,0.000818
169,1.611078,1.522383,1.17922,0.000742
170,1.610974,1.523195,1.180094,0.000617
171,1.626518,1.532669,1.189742,0.00308
172,1.616169,1.528015,1.188674,0.000874
173,1.611966,1.52359,1.184727,0.000583
174,1.615136,1.527426,1.18368,0.000791
175,1.631185,1.535991,1.192738,0.00351
176,1.614949,1.526011,1.184748,0.000756
177,1.612688,1.524298,1.1842,0.00077
178,1.61807,1.528868,1.18945,0.00188
179,1.617924,1.529957,1.187085,0.000784
180,1.626483,1.533661,1.191143,0.002996
181,1.619748,1.531816,1.19305,0.000728
182,1.621489,1.531698,1.19658,0.001554
183,1.61678,1.529201,1.19124,0.000749
184,1.634709,1.537309,1.198828,0.00396
185,1.626254,1.535707,1.200152,0.0012
186,1.623778,1.533751,1.195963,0.001498
187,1.61757,1.529499,1.191989,0.000971
188,1.616384,1.52832,1.189131,0.000909
189,1.625047,1.534091,1.195152,0.0031
190,1.618396,1.528348,1.186343,0.001567
191,1.614879,1.527322,1.186135,0.000805
192,1.615767,1.527467,1.186218,0.000846
193,1.623702,1.530228,1.190088,0.002545
194,1.626129,1.532974,1.189277,0.001789
195,1.617931,1.52952,1.187716,0.000902
196,1.615254,1.526989,1.187162,0.000777
197,1.616044,1.52805,1.186378,0.000832
198,1.62812,1.534549,1.192245,0.003648
199,1.61171,1.522307,1.182681,0.000714
200,1.619277,1.528792,1.187259,0.000902
201,1.610732,1.522876,1.184047,0.000902
202,1.629528,1.535346,1.190623,0.003496
203,1.613034,1.524429,1.185601,0.000763
204,1.613513,1.524145,1.183888,0.000909
205,1.613201,1.525629,1.186086,0.000798
206,1.62563,1.533675,1.193161,0.002511
207,4.350718,4.118632,3.638451,2.273719
208,1.615989,1.528528,1.188729,0.000777
209,1.624125,1.534493,1.198307,0.001623
210,1.618035,1.529097,1.191219,0.00068
211,1.622925,1.532315,1.192259,0.001991
212,1.632253,1.534819,1.198661,0.002004
213,1.618805,1.531476,1.195859,0.000756
214,1.620789,1.530887,1.193653,0.001616
215,1.615503,1.527571,1.186447,0.000881
216,1.616232,1.527974,1.188452,0.000874
217,1.613825,1.526496,1.187744,0.000645
218,1.619103,1.52918,1.185351,0.001616
219,1.897971,1.798512,1.456916,0.261258
220,5.012034,4.734802,4.232275,2.755633
221,1.588419,1.496853,1.163587,0.000909
222,1.590784,1.496957,1.163642,0.001949
223,1.589036,1.497664,1.165036,0.000701
224,1.594384,1.499523,1.165737,0.003572
225,1.588925,1.497373,1.164433,0.000818
226,1.591408,1.496429,1.161367,0.001713
227,1.584771,1.491893,1.160618,0.00086
228,1.589154,1.498933,1.165258,0.001033
229,2.472791,2.335281,1.956794,0.788803
230,1.585964,1.493523,1.158801,0.001006
231,1.590396,1.497629,1.16256,0.001561
232,1.588752,1.497255,1.160126,0.000811
233,1.598858,1.504288,1.171452,0.002989
234,1.589244,1.498614,1.167401,0.000798
235,1.593857,1.501215,1.171542,0.001942
236,1.634369,1.53964,1.167436,0.000451
237,1.593753,1.500626,1.168574,0.000402
238,1.594072,1.500431,1.169378,0.000402
239,1.590646,1.498392,1.165591,0.000437
240,1.618312,1.518243,1.187259,0.003419
241,1.593781,1.500591,1.171715,0.000416
242,1.592373,1.500216,1.172506,0.000437
243,1.595223,1.50288,1.175544,0.000416
244,1.594703,1.503123,1.175808,0.000499
245,1.620352,1.519762,1.188389,0.003399
246,1.591561,1.498115,1.166084,0.000451
247,1.592719,1.499072,1.16736,0.000416
248,1.602173,1.508366,1.177014,0.000437
249,1.608942,1.510038,1.174427,0.002476
250,1.609386,1.50924,1.17528,0.001373
251,1.596298,1.501118,1.170065,0.000513
252,1.596166,1.501527,1.171015,0.000444
253,1.599912,1.503955,1.172777,0.000451
254,1.617674,1.516911,1.182889,0.002837
255,1.607576,1.509101,1.176189,0.001311
256,1.594578,1.498808,1.166853,0.000388
257,1.600973,1.504829,1.17621,0.00043
258,1.598587,1.503317,1.173852,0.000402
259,1.608748,1.511092,1.179393,0.002608
260,1.600349,1.505904,1.172458,0.001172
261,1.595965,1.501035,1.170571,0.000416
262,1.604968,1.508775,1.178242,0.000416
263,1.607874,1.509594,1.179934,0.00249
264,1.597089,1.502415,1.171896,0.000465
265,1.596229,1.503102,1.173297,0.001401
266,1.598226,1.501881,1.171882,0.000423
267,1.594516,1.500411,1.171202,0.000479
268,1.602714,1.505481,1.174081,0.002726
269,1.593767,1.499883,1.169371,0.000416
270,1.601687,1.505397,1.174684,0.00138
271,1.602041,1.506667,1.178797,0.000416
272,1.598948,1.50435,1.176085,0.000409
273,1.611481,1.516786,1.185774,0.002781
274,1.601382,1.506396,1.179567,0.000465
275,1.596763,1.502686,1.174497,0.000465
276,1.592948,1.500168,1.1684,0.000541
277,1.604309,1.507776,1.174476,0.002649
278,1.595646,1.501853,1.169808,0.000423
279,1.597789,1.504433,1.173033,0.000458
280,1.59412,1.499828,1.169968,0.000499
281,1.604059,1.506202,1.17381,0.0012
282,1.609788,1.510468,1.178728,0.002747
283,1.595008,1.50118,1.17003,0.000402
284,1.591998,1.498906,1.166729,0.000354
285,1.592608,1.49987,1.166652,0.000409
286,1.599835,1.504461,1.172381,0.001415
287,1.608658,1.510038,1.176647,0.002441
288,1.596874,1.502519,1.172645,0.000416
289,1.592435,1.499349,1.166403,0.000416
290,1.59333,1.500737,1.170842,0.000388
291,1.614713,1.514795,1.183271,0.003156
292,1.590632,1.497296,1.167471,0.000375
293,1.595202,1.502373,1.171764,0.000465
294,1.593572,1.499946,1.168574,0.000555
295,1.591679,1.497567,1.167831,0.000437
296,1.61085,1.513852,1.180101,0.003184
297,1.600661,1.506694,1.175086,0.000409
298,1.596569,1.502138,1.16899,0.000437
299,1.60614,1.511272,1.182494,0.000368
300,1.601195,1.506688,1.179775,0.000486
301,1.608054,1.510995,1.179192,0.002317
302,1.600605,1.506694,1.177236,0.00138
303,3.254242,3.074986,2.691456,1.408691
304,1.609331,1.513776,1.176959,0.000583
305,1.614956,1.516141,1.181335,0.001866
306,1.610426,1.516557,1.185781,0.00034
307,2.3921,2.253418,1.890481,0.673412
308,1.611502,1.516086,1.178034,0.000555
309,1.626337,1.523985,1.182896,0.003315
310,1.613811,1.515413,1.177493,0.00052
311,1.612493,1.514976,1.176251,0.000444
312,1.622842,1.523743,1.183541,0.001228
313,1.609865,1.513283,1.174559,0.000368
314,1.626781,1.5254,1.18678,0.002393
315,1.85404,1.745779,1.397851,0.206618
316,1.616246,1.522161,1.182903,0.000423
317,1.627336,1.528667,1.193099,0.001207
318,1.621628,1.524138,1.189797,0.000388
319,1.633863,1.53278,1.194465,0.002754
320,1.616058,1.518485,1.181911,0.000416
321,1.622821,1.52538,1.191531,0.000402
322,1.629729,1.52841,1.188895,0.000465
323,1.637941,1.53475,1.193868,0.003953
324,1.614657,1.517494,1.180926,0.000347
325,1.612535,1.515399,1.178263,0.000409
326,1.616391,1.517161,1.180926,0.000437
327,1.615996,1.51972,1.179927,0.000375
328,1.638898,1.536081,1.195908,0.003461
329,1.62264,1.525692,1.190491,0.000451
330,1.620886,1.524866,1.187876,0.000361
331,1.619415,1.52273,1.187709,0.000444
332,1.629528,1.530262,1.190685,0.002323
333,1.627468,1.527113,1.192766,0.001373
334,1.616745,1.519345,1.181197,0.00043
335,1.628744,1.527363,1.190102,0.000368
336,1.616877,1.518999,1.181953,0.000472
337,1.641901,1.538245,1.198002,0.011326
338,1.618139,1.520178,1.182306,0.000347
339,1.629881,1.529069,1.189873,0.001255
340,1.615712,1.519012,1.182064,0.000437
341,1.638704,1.534015,1.198439,0.002622
342,1.617182,1.520913,1.187425,0.000423
343,1.630991,1.535797,1.20034,0.013462
344,1.612549,1.519345,1.185102,0.001207
345,1.607611,1.51646,1.177444,0.000347
346,1.61318,1.518957,1.179768,0.001415
347,1.608117,1.516259,1.180697,0.000347
348,1.608755,1.517126,1.180871,0.000465
349,1.60854,1.515302,1.17691,0.000395
350,1.623972,1.528667,1.191947,0.003086
351,1.608575,1.517369,1.17904,0.000458
352,1.605877,1.514608,1.180101,0.000361
353,1.608824,1.517313,1.178873,0.000381
354,1.609719,1.518846,1.182043,0.000368
355,1.616336,1.521884,1.183056,0.001928
356,1.613256,1.519283,1.182202,0.001131
357,1.611224,1.518992,1.182924,0.000368
358,1.610995,1.521031,1.186052,0.000381
359,1.669658,1.572522,1.234707,0.042114
360,1.611078,1.519602,1.185081,0.000354
361,1.611488,1.519824,1.185559,0.000423
362,1.618174,1.525185,1.187994,0.000874
363,1.613561,1.522466,1.189277,0.000326
364,1.619297,1.524728,1.187952,0.001789
365,1.613416,1.523257,1.189062,0.000375
366,1.612729,1.522418,1.18712,0.000388
367,1.612799,1.520164,1.184679,0.000381
368,1.618673,1.524658,1.187148,0.00283
369,1.612105,1.51913,1.18103,0.000451
370,1.608831,1.517875,1.183506,0.00034
371,1.608998,1.5175,1.179997,0.000395
372,1.610683,1.519012,1.182924,0.000361
373,1.617043,1.521197,1.182515,0.001942
374,1.611176,1.518208,1.178478,0.001054
375,1.60922,1.5187,1.180524,0.000395
376,1.606785,1.514019,1.17689,0.000416
377,1.607361,1.51775,1.18112,0.000444
378,1.685715,1.587816,1.242495,0.059856
379,1.608138,1.515461,1.175815,0.000603
380,1.607791,1.514879,1.175808,0.000479
381,1.659567,1.564747,1.189013,0.000423
382,1.625255,1.527453,1.192266,0.000416
383,1.628182,1.528743,1.192571,0.00043
384,1.632573,1.532946,1.195838,0.000458
385,1.636692,1.534008,1.20043,0.00292
386,1.623362,1.525567,1.189624,0.000388
387,1.626552,1.527911,1.193376,0.000395
388,1.630027,1.529451,1.193979,0.001214
389,1.631373,1.531025,1.197378,0.000437
390,1.634098,1.534708,1.201179,0.002573
391,1.626781,1.529603,1.197114,0.000409
392,1.623306,1.526579,1.194985,0.000486
393,1.619512,1.52307,1.193425,0.00043
394,1.642165,1.541165,1.207268,0.002559
395,1.62255,1.527391,1.196192,0.00043
396,1.624458,1.52624,1.192571,0.000354
397,1.630894,1.5309,1.194451,0.00095
398,1.620712,1.525005,1.188167,0.000437
399,1.64822,1.540409,1.202053,0.00231
400,1.618548,1.522681,1.186593,0.000388
401,1.615947,1.524554,1.190082,0.000388
402,1.61637,1.525629,1.192481,0.00034
403,1.6197,1.527093,1.193258,0.001949
404,1.613534,1.522557,1.186801,0.000381
405,1.615656,1.524533,1.187175,0.000381
406,1.66309,1.570851,1.196518,0.000555
407,1.623105,1.527537,1.19305,0.000479
408,1.625276,1.528847,1.194465,0.000499
409,1.645459,1.549814,1.217436,0.018324
410,1.665122,1.558658,1.216257,0.007817
411,1.624638,1.530144,1.198016,0.000444
412,1.626088,1.530013,1.195582,0.000479
413,1.621725,1.52488,1.189964,0.000492
414,1.622918,1.526191,1.188382,0.000465
415,1.656966,1.547727,1.202011,0.004612
416,1.623646,1.528986,1.197073,0.000465
417,1.6185,1.522959,1.188292,0.000437
418,1.620206,1.524589,1.191281,0.000368
419,1.643108,1.540631,1.202982,0.003093
420,1.645196,1.548198,1.212054,0.023117
421,2.234587,2.096058,1.725415,0.486894
422,1.615538,1.517771,1.179872,0.000375
423,1.614893,1.517771,1.181668,0.000354
424,1.63638,1.533314,1.193889,0.003357
425,1.620754,1.524249,1.187848,0.000409
426,1.617626,1.521031,1.189298,0.000368
427,1.619103,1.522883,1.19072,0.000423
428,1.633322,1.532121,1.196449,0.003031
429,1.615781,1.519318,1.182917,0.00043
430,1.617855,1.519699,1.183985,0.000375
431,1.614907,1.518166,1.182487,0.000361
432,1.615483,1.518929,1.180961,0.000402
433,1.632871,1.530803,1.189596,0.003336
434,1.614415,1.517195,1.182098,0.000402
435,1.615878,1.519026,1.18146,0.000416
436,1.615094,1.518021,1.183104,0.000451
437,1.659047,1.553685,1.212671,0.024823
438,1.750266,1.645785,1.302199,0.111438
439,1.612396,1.516342,1.179761,0.000486
440,1.614949,1.519006,1.179414,0.000492
441,1.615566,1.51825,1.181426,0.000437
442,1.792679,1.685534,1.340249,0.146568
443,1.619762,1.523389,1.186218,0.001907
444,1.626414,1.528237,1.190394,0.001734
445,1.653539,1.556105,1.22252,0.026696
446,1.633016,1.533765,1.198779,0.002975
447,1.622953,1.526767,1.195054,0.000368
448,1.617189,1.521447,1.186537,0.000368
449,1.618749,1.522043,1.188306,0.00043
450,1.614852,1.51723,1.181932,0.000451
451,1.631269,1.530235,1.190401,0.002878
452,1.615323,1.516911,1.18076,0.000388
453,1.615934,1.518638,1.179345,0.000361
454,1.613277,1.516259,1.179296,0.000409
455,1.632815,1.531136,1.19271,0.00319
456,1.614165,1.518062,1.183728,0.000354
457,1.616724,1.520067,1.183881,0.000381
458,1.611411,1.513991,1.176591,0.000472
459,1.613721,1.516904,1.18155,0.000465
460,1.635271,1.533793,1.192128,0.003246
461,1.614116,1.516966,1.179588,0.000368
462,1.792013,1.683058,1.333556,0.129145
463,1.613319,1.517334,1.180302,0.000444
464,1.766323,1.656751,1.309891,0.121252
465,1.612029,1.516321,1.180212,0.000506
466,1.610607,1.513783,1.17965,0.000499
467,1.613756,1.516488,1.183187,0.000444
468,1.613534,1.517757,1.181883,0.00052
469,1.634369,1.533564,1.194749,0.003371
470,1.61284,1.51793,1.18189,0.000388
471,1.615039,1.518777,1.183361,0.000423
472,1.619492,1.522855,1.186891,0.000368
473,1.623272,1.525081,1.18943,0.001699
474,1.626906,1.527252,1.190394,0.00163
475,1.617473,1.521322,1.184526,0.000444
476,1.615823,1.519304,1.185684,0.000416
477,1.612868,1.516203,1.178908,0.000423
478,1.629833,1.528549,1.187938,0.00308
479,1.612937,1.518347,1.182404,0.000375
480,1.672738,1.574665,1.238542,0.055029
481,1.615524,1.517674,1.180406,0.000492
482,1.660427,1.547241,1.202725,0.004099
483,1.671684,1.564296,1.217651,0.003898
484,1.65612,1.552138,1.208982,0.002303
485,1.700356,1.600293,1.254168,0.052802
486,1.767779,1.666773,1.325261,0.12361
487,1.669762,1.564456,1.219073,0.006388
488,1.660212,1.556688,1.213365,0.005035
489,1.650092,1.548129,1.205666,0.003926
490,1.631171,1.535991,1.194999,0.000957
491,1.631844,1.536636,1.198099,0.001033
492,1.64659,1.545015,1.202018,0.002643
493,1.623993,1.528189,1.191025,0.001117
494,1.62083,1.524894,1.18601,0.00059
495,1.631366,1.532988,1.192086,0.001602
496,1.656369,1.552714,1.207338,0.00326
497,1.642831,1.545382,1.203731,0.001276
498,1.632961,1.53613,1.193556,0.000922
499,1.631109,1.536713,1.195637,0.000895
500,1.63629,1.541602,1.2031,0.000874
501,1.654906,1.551944,1.211055,0.002088
502,1.632108,1.538121,1.202816,0.000874
503,1.855718,1.750495,1.408143,0.194293
504,1.637386,1.543503,1.209897,0.000867
505,1.634667,1.54136,1.203599,0.001082
506,1.65399,1.550175,1.209557,0.002608
507,2.163252,2.038664,1.658936,0.42124
508,1.94406,1.836146,1.489188,0.289438
509,1.656716,1.559414,1.218733,0.033112
510,1.615205,1.518971,1.179282,0.002323
511,1.62065,1.526711,1.189062,0.000832
512,1.632295,1.535256,1.196268,0.001137
513,1.629306,1.533377,1.193771,0.000999
514,1.640459,1.54188,1.199112,0.00147
515,1.677794,1.56524,1.216216,0.004911
516,1.79623,1.673702,1.316528,0.081856
517,1.691964,1.575636,1.224754,0.005687
518,1.699989,1.58131,1.230975,0.004876
519,1.699025,1.580942,1.229553,0.005271
520,1.652659,1.550765,1.206006,0.00172
521,1.631657,1.535679,1.19916,0.001096
522,1.636359,1.542213,1.209564,0.000881
523,1.684244,1.573792,1.23067,0.004647
524,1.744628,1.616766,1.256457,0.012575
525,1.718507,1.604385,1.24957,0.016632
526,1.635236,1.5405,1.202927,0.000777
527,1.633079,1.537087,1.200451,0.000909
528,1.628252,1.532738,1.191323,0.000902
529,1.948859,1.832372,1.469789,0.254288
530,1.835542,1.7319,1.387856,0.186476
531,1.628182,1.533779,1.193764,0.000805
532,1.623549,1.528924,1.191933,0.000957
533,1.638371,1.538183,1.197898,0.002455
534,1.626122,1.530644,1.191926,0.001013
535,1.627586,1.531199,1.192419,0.000825
536,1.627447,1.532815,1.195263,0.000798
537,1.627294,1.533682,1.195034,0.000791
538,1.645896,1.545972,1.206339,0.002303
539,1.632101,1.538356,1.202961,0.000818
540,1.646971,1.54935,1.209946,0.002601
541,1.711648,1.590895,1.235733,0.008101
542,1.69401,1.577433,1.227604,0.005909
543,1.629555,1.535006,1.195526,0.000846
544,1.627981,1.533598,1.195498,0.000874
545,1.627308,1.530991,1.192495,0.001151
546,1.628647,1.532933,1.194409,0.000929
547,1.64858,1.547283,1.207657,0.002421
548,1.631775,1.537711,1.203183,0.000992
549,1.629944,1.535631,1.200964,0.000874
550,1.626982,1.532197,1.196026,0.00086
551,2.125681,1.999567,1.62649,0.394252
552,2.216506,2.086515,1.714158,0.46343
553,1.629118,1.534306,1.195478,0.001013
554,1.63387,1.538967,1.201512,0.00095
555,1.629985,1.535756,1.199584,0.000971
556,1.642692,1.543565,1.20369,0.00267
557,1.627586,1.53346,1.19407,0.001186
558,1.625512,1.529243,1.190206,0.000895
559,1.624818,1.531247,1.189145,0.000964
560,1.642678,1.542442,1.203731,0.002213
561,1.624277,1.529014,1.189027,0.000825
562,1.629701,1.533751,1.198481,0.000992
563,1.97172,1.859866,1.492254,0.283848
564,1.627606,1.531525,1.194097,0.00104
565,1.643427,1.543905,1.205368,0.002358
566,1.631095,1.53638,1.199688,0.000853
567,1.631248,1.536706,1.198141,0.001359
568,1.634362,1.539626,1.202018,0.001061
569,2.077304,1.958736,1.60759,0.378245
570,1.630346,1.537545,1.199736,0.001027
571,1.62889,1.533786,1.196282,0.000985
572,1.627496,1.531913,1.195915,0.00104
573,1.707819,1.607659,1.259516,0.066549
574,1.840265,1.72674,1.376835,0.168152
575,1.623702,1.52977,1.19065,0.000971
576,1.625193,1.530353,1.191836,0.000902
577,1.629535,1.536095,1.19581,0.000978
578,1.644523,1.539764,1.195186,0.001942
579,1.626296,1.530873,1.191066,0.001006
580,1.62821,1.533286,1.192814,0.000846
581,1.625755,1.532239,1.192662,0.00102
582,1.628217,1.531171,1.192343,0.001242
583,1.639411,1.538329,1.198134,0.00206
584,1.626511,1.530998,1.192093,0.000943
585,1.626948,1.531025,1.191559,0.000916
586,1.626615,1.531636,1.194971,0.000846
587,1.69281,1.590091,1.24939,0.043307
588,1.629354,1.53382,1.197031,0.000992
589,1.62848,1.532177,1.191649,0.001179
590,1.627267,1.5314,1.188438,0.001027
591,1.625019,1.528487,1.192155,0.000853
592,1.640223,1.53921,1.197281,0.001762
593,1.62864,1.534972,1.198016,0.000707
594,1.631033,1.535249,1.199285,0.00111
595,1.685139,1.588038,1.247094,0.049855
596,1.721108,1.620144,1.281156,0.073506
597,1.635409,1.539848,1.206977,0.001089
598,1.625345,1.529076,1.18995,0.000936
599,1.624478,1.529784,1.189964,0.001075
600,1.624582,1.529867,1.191489,0.000798
601,1.639945,1.541762,1.20034,0.002559
602,1.626753,1.531122,1.194826,0.000957
603,1.627662,1.530998,1.190068,0.000909
604,1.625006,1.529957,1.191781,0.00095
605,1.628279,1.534035,1.197732,0.000888
606,1.65363,1.547165,1.206956,0.002441
607,1.627801,1.532655,1.19855,0.000978
608,1.628682,1.533515,1.197572,0.000874
609,1.629521,1.533071,1.196067,0.000971
610,1.637892,1.536921,1.195901,0.001998
611,1.624825,1.529097,1.192252,0.000936
612,1.624208,1.529867,1.19425,0.000895
613,1.622079,1.527356,1.189527,0.000916
614,1.623341,1.527224,1.188597,0.000867
615,1.635451,1.536033,1.195935,0.002157
616,1.627398,1.532815,1.195491,0.000916
617,1.766836,1.665448,1.319802,0.122764
618,2.567527,2.429178,2.060013,0.819085
619,1.644315,1.54344,1.205188,0.002185
620,1.628848,1.535201,1.198252,0.000888
621,1.630214,1.535575,1.197968,0.000909
622,1.627176,1.53294,1.196268,0.000798
623,1.838233,1.733662,1.392545,0.185519
624,1.6441,1.541686,1.202656,0.002219
625,1.625824,1.530075,1.195027,0.00077
626,1.626108,1.530873,1.192259,0.00104
627,1.625886,1.531539,1.192724,0.000811
628,1.647048,1.541956,1.200555,0.002268
629,1.623091,1.527634,1.190269,0.000777
630,1.62513,1.529687,1.190075,0.000867
631,1.626233,1.531684,1.191101,0.001061
632,1.622557,1.528272,1.189728,0.000992
633,1.636304,1.539106,1.200666,0.00224
